Utterance,Cluster,processed_queries
με συνδέετε με το τμήμα πωλήσεων,,συνδέετε τμήμα πωλήσεων
απόρρητο τηλέφωνο,,απόρρητος τηλέφωνος
θέλω να μου δείξετε την αναλυτική κίνηση του τηλεφώνου μου,,δείξω αναλυτικός κίνηση τηλεφώνου
θα ήθελα να επικοινωνήσω με το τμήμα διακανονισμού λογαριασμών,,επικοινωνώ τμήμα διακανονισμός λογαριασμός
θέλω να ενημερωθώ για αναλυτικό λογαριασμό στο σταθερό,,ενημερωθώ αναλυτικός λογαριασμός σε ο σταθερός
θέλω να υποβάλω αίτηση,,υποβάλω αίτηση
θέλω να μάθω το χρέος μου,,μάθω χρέος
ποιο είναι το συνολικό ποσό των οφειλών μου,,ποιος συνολικός ποσό οφειλών
θέλω να κάνω διακανονισμό στον λογαριασμό μου,,διακανονισμός σε ο λογαριασμός
τι είναι αυτή η ανάλυση στον λογαριασμό μου,,αυτός ανάλυση σε ο λογαριασμός
συνδέστε με με το τμήμα πωλήσεων,,συνδέστε τμήμα πωλήσεων
πώς μπορώ να μάθω πληροφορίες για τις υπηρεσίες,,πώς μπορώ μάθω πληροφορία υπηρεσία
χρειάζομαι τη βοήθειά σας,,χρειάζομαι βοήθειά
υποβολή παραπόνου,,υποβολή παραπόνου
επιθυμώ να με πληροφορήσετε πώς μπορεί να γίνει αίτηση,,επιθυμώ πληροφορώ πώς μπορώ γίνομαι αίτηση
καλημέρα καλώ σχετικά με ένα ραντεβού,,καλημέρα καλώ σχετικά ένας ραντεβού
πόσα χρήματα οφείλω,,πόσος χρήμα οφείλω
θέλω να προσθέσω χρόνο ομιλίας,,προσθέσω χρόνος ομιλία
να αποπληρώσω τον λογαριασμό μου,,αποπληρώσως λογαριασμός
θα ήθελα βοήθεια,,βοήθεια
να έχω βιντεοκλήση,,βιντεοκλήση
επιθυμώ να ανακαλύψω τα χρέη μου,,επιθυμώ ανακαλύψω χρέος
ακύρωση ραντεβού,,ακύρωση ραντεβού
θέλω διακανονισμό,,διακανονισμός
να κάνω ενεργοποίηση,,ενεργοποίηση
θέλω να μου δώσετε κάποιες πληροφορίες,,δώσετε κάποιος πληροφορία
κλήσεις με απόκρυψη,,κλήσεις απόκρυψη
νέο tablet,,νέος tablet
θέλω να μου πείτε πότε πρέπει να πληρώνω τις δόσεις του διακανονισμού μου,,πότε πρέπει πληρώνω δόση διακανονισμός
ενεργοποίηση της βιντεοκλήσης,,ενεργοποίηση βιντεοκλήση
θέλω ανανέωση,,ανανέωση
καταγραφή παραπόνου,,καταγραφή παραπόνου
να αποπληρώσω το τηλέφωνό μου,,αποπληρώσως τηλέφωνό
πώς μπορώ να δω την ανάλυση όλων των κλήσεων και μηνυμάτων,,πώς μπορώ ανάλυση όλος κλήσεων μηνυμάτο
πού βλέπω το υπόλοιπο,,πού βλέπω υπόλοιπος
θέλω να ακυρώσω το ραντεβού που έχουμε,,ακυρώνω ραντεβού
λογαριασμό κινητού,,λογαριασμός κινητός
ενεργοποίηση προγράμματος με μηνύματα,,ενεργοποίηση πρόγραμμα μηνύματα
ήθελα να ενημερωθώ για την απόκρυψη,,ενημερωθώ απόκρυψη
με ποιον τρόπο κάνω αίτηση,,τρόπος αίτηση
λογαριασμός σταθερής internet,,λογαριασμός σταθερής internet
με ποιον τρόπο μπορώ να καταχωρήσω αίτημα,,τρόπος μπορώ καταχωρώ αίτημα
χρόνος για ομιλία,,χρόνος ομιλία
ποιο είναι το χρέος μου,,ποιος χρέος
την ανάλυση κλήσεων,,ανάλυση κλήσεων
πού θα μπω για να κάνω αίτημα διακανονισμού κινητής,,πού αίτημα διακανονισμός κινητός
ψάχνω να βρω τι χρωστάω,,ψάχνω βρως χρωστάω
ενεργοποίηση προγράμματος με χρόνο ομιλίας,,ενεργοποίηση πρόγραμμα χρόνος ομιλία
ενδιαφέρομαι για τη λεπτομερή ανάλυση λογαριασμού,,ενδιαφέρομαι λεπτομερής ανάλυση λογαριασμός
πόσα χρήματα οφείλω τελικά,,πόσος χρήμα οφείλω τελικά
θέλω να γίνει αποπληρωμή λογαριασμού του τηλεφώνου μου,,γίνομαι αποπληρωμή λογαριασμός τηλεφώνου
θέλω να κάνω αποπληρωμή της οφειλής του σταθερού μου,,αποπληρωμή οφειλή σταθερού
θέλω να μάθω ποιο είναι το σύνολο των οφειλών μου,,μάθω ποιος σύνολο οφειλών
δε μου δείχνει αυτή την επιλογή διακανονισμού,,δείχνω αυτός επιλογή διακανονισμός
θα ήθελα να κάνω ένα παράπονο,,ένας παράπονο
αλλαγή ραντεβού ενεργοποίησης,,αλλαγή ραντεβού ενεργοποίηση
χρειάζομαι βοήθεια για το hotspot,,χρειάζομαι βοήθεια hotspot
λογαριασμό σταθερού,,λογαριασμός σταθερού
δεν έχω την επιλογή διακανονισμού,,επιλογή διακανονισμός
θέλω υπηρεσίες για τη σύνδεσή μου,,υπηρεσία σύνδεση
ανάλυση κλήσεων στον λογαριασμό μου,,ανάλυση κλήσεων σε ο λογαριασμός
θέλω χρόνο ομιλίας,,χρόνος ομιλία
θέλω να κάνω εξόφληση λογαριασμού για το κινητό μου,,εξόφληση λογαριασμός κινητό
πώς μπορώ να κάνω αίτημα,,πώς μπορώ αίτημα
ανάλυση λογαριασμού,,ανάλυση λογαριασμός
ζητώ να απενεργοποιήσω,,ζητώ απενεργοποιώ
να κάνω πληρωμή λογαριασμού για το κινητό μου,,πληρωμή λογαριασμός κινητό
θα χρειαστεί να ενημερωθώ σχετικά με τον τρόπο υποβολής αίτησης,,χρειάζομαι ενημερωθώ σχετικά τρόπος υποβολή αίτηση
να ρωτήσω για ενεργοποίηση,,ρωτώ ενεργοποίηση
μπορώ να προχωρήσω σε διακανονισμό της σύνδεσης μου,,μπορώ προχωρώ διακανονισμός σύνδεση
τo παραστατικό της σύνδεσής μου,,παραστατικός σύνδεση
να μάθω για τον αναλυτικό λογαριασμό,,μάθω αναλυτικός λογαριασμός
θέλω να γίνει αποπληρωμή της οφειλής του σταθερού μου,,γίνομαι αποπληρωμή οφειλή σταθερού
έχω ανάγκη από πληροφορίες,,ανάγκη από πληροφορία
επιθυμώ να αγοράσω κάποιο πρόγραμμα μηνυμάτων,,επιθυμώ αγοράζω κάποιος πρόγραμμα μηνυμάτων
να αλλάξω την ώρα στο ραντεβού μας,,αλλάξω ώρα σε ο ραντεβού
βοήθεια με λογαριασμό,,βοήθεια λογαριασμός
να με πληροφορήσετε,,πληροφορήζω
πώς μπορώ να βλέπω ανάλυση όλης της κίνησης που έχω κάνει,,πώς μπορώ βλέπω ανάλυση όλη κίνηση
καταχωρήστε μου μια αίτηση,,καταχωρήστε ένας αίτηση
να κάνω εξόφληση παραστατικού του σταθερού μου,,εξόφληση παραστατικός σταθερού
ιδιωτικό απόρρητο του τηλεφώνου,,ιδιωτικός απόρρητο τηλεφώνος
θέλω να αγοράσω πρόγραμμα ομιλίας,,αγοράζω πρόγραμμα ομιλία
θέλω να κάνω εξόφληση λογαριασμού για το σταθερό μου,,εξόφληση λογαριασμός σταθερός
να απενεργοποιηθεί,,απενεργοποιηθεί
επιθυμώ βοήθεια,,επιθυμώ βοήθεια
επιθυμώ πληροφορίες,,επιθυμώ πληροφορία
χρειάζομαι να πληρώσω τον λογαριασμό μου και δεν παίρνουν το ποσό που πρέπει,,χρειάζομαι πληρώσω λογαριασμός παίρνω ποσό πρέπει
διακανονισμός,,διακανονισμός
πώς μπορώ να δω αναλυτικά σε ποιους αριθμούς έχω κάνει κλήση καθώς και τη διάρκεια τους,,πώς μπορώ αναλυτικά ποιος αριθμός κλήση καθώς διάρκεια
ανάλυση εξερχόμενων μηνυμάτων,,ανάλυση εξερχόμενων μηνυμάτων
να απενεργοποιήσω,,απενεργοποιώ
θέλω να κάνω διακανονισμό στην τηλεόραση γιατί δεν έχω τη δυνατότητα να πληρώσω το ληξιπρόθεσμο ποσό,,διακανονισμός σε ο τηλεόραση γιατί δυνατότητα πληρώσω ληξιπρόθεσμος ποσό
χρειάζομαι υπηρεσίες,,χρειάζομαι υπηρεσία
να μάθω για απενεργοποίηση,,μάθω απενεργοποίηση
θέλω να αποπληρώσω τον λογαριασμό μου,,αποπληρώσως λογαριασμός
πώς μπορώ να υποβάλω αίτηση,,πώς μπορώ υποβάλω αίτηση
να κάνω αποπληρωμή λογαριασμού για το τηλέφωνό μου,,αποπληρωμή λογαριασμός τηλέφωνό
ποιο είναι το σύνολο των οφειλών μου,,ποιος σύνολο οφειλών
επιθυμώ να καταθέσω αίτηση,,επιθυμώ καταθέσω αίτηση
θέλω να μου απενεργοποιήσετε,,απενεργοποιήσω
πώς μπορώ να μιλήσω με κάποιον από τις πωλήσεις,,πώς μπορώ μιλώ κάποιος από πωλήσεις
ποιο είναι το ποσό που χρωστάω,,ποιος ποσό χρωστάω
θα ήθελα να ενημερωθώ τι υπόλοιπο έχω από τον διακανονισμό,,ενημερωθώς υπόλοιπος από διακανονισμός
θέλω δωρεάν χρόνο ομιλίας,,δωρεάν χρόνος ομιλία
να ενεργοποιήσετε,,ενεργοποιήσετε
θέλω πλήρη ανάλυση κλήσεων,,πλήρης ανάλυση κλήσεων
να γίνει απόρρητο το κινητό μου,,γίνομαι απόρρητος κινητό
θέλω να κάνω εξόφληση της οφειλής του κινητού μου,,εξόφληση οφειλή κινητός
θέλω να αποπληρώσω το τηλέφωνό μου,,αποπληρώσως τηλέφωνό
θέλω να δω αναλυτικά τις κινήσεις του κινητού μου,,αναλυτικά κίνηση κινητού
πώς καλώ με βιντεοκλήση,,πώς καλώ βιντεοκλήση
πώς μπορώ να δω ανάλυση όλων των κλήσεων και μηνυμάτων,,πώς μπορώ ανάλυση όλος κλήσεων μηνυμάτο
να κάνω αποπληρωμή της οφειλής,,αποπληρωμή οφειλή
πότε λήγει το φοιτητικό πακέτο,,πότε λήγω φοιτητικός πακέτο
να ρωτήσω για απενεργοποίηση,,ρωτώ απενεργοποίηση
να δηλώσω απόρρητο το κινητό μου,,δηλώνω απόρρητο κινητό
πόση την έχω πια την οφειλή μου,,πια οφειλή
θα ήθελα να κάνω αίτημα,,αίτημα
έχω κάνει αίτηση για ραντεβού,,αίτηση ραντεβού
θέλω να γίνει εξόφληση της οφειλής του τηλεφώνου μου,,γίνομαι εξόφληση οφειλή τηλεφώνου
υπηρεσία για απόκρυψη κλήσεων,,υπηρεσία απόκρυψη κλήσεων
να κάνω πληρωμή της οφειλής του κινητού μου,,πληρωμή οφειλή κινητός
με ποιον τρόπο μπορώ να καταθέσω αίτηση,,τρόπος μπορώ καταθέσω αίτηση
ενδιαφέρομαι για ενεργοποίηση,,ενδιαφέρομαι ενεργοποίηση
να κάνω εξόφληση της οφειλής του τηλεφώνου μου,,εξόφληση οφειλή τηλεφώνου
πόσα χρέη έχω συνολικά,,πόσος χρέος συνολικά
καλημέρα αφορά τον λογαριασμό μου,,καλημέρα αφορώ λογαριασμός
έχετε κάπου οδηγίες για hotspot,,κάπου οδηγία hotspot
θέλω να κάνω αγορά προγράμματος μηνυμάτων,,αγορά πρόγραμμα μηνυμάτο
επιθυμώ να δω την ανάλυση των κλήσεων,,επιθυμώ ανάλυση κλήσεων
πώς εμφανίζω τον αναλυτικό λογαριασμό,,πώς εμφανίζω αναλυτικός λογαριασμός
θέλω να αγοράσω χρόνο ομιλίας,,αγοράζω χρόνος ομιλία
τι κωδικό έχει το tethering,,κωδικός tethering
πόσο είναι η επιδότησή μου,,πόσο επιδότηση
λογαριασμός της σύνδεσής μου,,λογαριασμός σύνδεση
από πού μπορώ να ενημερωθώ για τα χρέη μου,,από πού μπορώ ενημερωθώ χρέος
χρόνο για να μιλάω,,χρόνος μιλάως
πώς μπορώ να ενημερωθώ για τον τρόπο που μπορεί να γίνει αίτηση,,πώς μπορώ ενημερωθώ τρόπος μπορώ γίνομαι αίτηση
θέλω να ενημερωθώ για αναλυτικό λογαριασμό στο κινητό,,ενημερωθώ αναλυτικός λογαριασμός σε ο κινητό
θέλω να ενημερωθώ για υπηρεσίες,,ενημερωθώ υπηρεσία
ενδιαφέρομαι να μου απενεργοποιήσετε,,ενδιαφέρομαι απενεργοποιήσω
αναφορά παραπόνου,,αναφορά παραπόνου
να γίνει απόρρητο το τηλέφωνο,,γίνομαι απόρρητος τηλέφωνος
να ενημερωθώ για τις βιντεοκλήσεις,,ενημερωθώς βιντεοκλήσεις
ανάλυση εισερχόμενων κλήσεων,,ανάλυση εισερχόμενος κλήσεων
πόσο χρωστάω,,πόσο χρωστάω
θα ήθελα να υποβάλω αίτηση,,υποβάλω αίτηση
να εξοφλήσω το σταθερό μου,,εξοφλώ σταθερός
θα ήθελα να μάθω λεπτομέρειες σχετικά με τον διακανονισμό,,μάθω λεπτομέρεια σχετικά διακανονισμός
ενδιαφέρομαι να αποκτήσω ένα νέο tablet,,ενδιαφέρομαι αποκτώ ένας νέος tablet
τον λογαριασμό της σύνδεσής μου,,λογαριασμός σύνδεση
επιθυμώ να μιλήσω με τις πωλήσεις,,επιθυμώ μιλώ πωλήσεις
να ενημερωθώ για την παρούσα κατάσταση του υπολοίπου μου,,ενημερωθώ παρών κατάσταση υπολοίπου
θέλω να κάνω το κινητό μου απόρρητο,,κινητό απόρρητο
επιθυμώ ενημέρωση,,επιθυμώ ενημέρωση
πώς μπορώ να κάνω διακανονισμό κινητής,,πώς μπορώ διακανονισμός κινητός
πώς μπορώ να καταχωρήσω αίτημα,,πώς μπορώ καταχωρώ αίτημα
θέλω να αναφέρω παράπονο,,αναφέρω παράπονο
δε βρίσκω να ανοίξω το hotspot στη συσκευή μου,,βρίσκω ανοίξω hotspot σε ο συσκευή
πού θα βρω πόσα χρωστάω,,πού βρως χρωστάω
πότε θα γίνει το νέο ραντεβού,,πότε γίνομαι νέος ραντεβού
από πού αλλάζει ο κωδικός του tethering,,από πού αλλάζω κωδικός tethering
θέλω να με ενημερώσετε για αναλυτικό λογαριασμό στο κινητό,,ενημερώσω αναλυτικός λογαριασμός σε ο κινητό
θα επιθυμούσα να μάθω πόσες δόσεις απομένουν ακόμη για τον διακανονισμό,,επιθυμούσος μάθω πόσος δόση απομένω ακόμα διακανονισμός
αγορά προγράμματος δεδομένων,,αγορά πρόγραμμα δεδομένο
πώς κάνω hotspot,,πώς hotspot
ενημερώστε με για την ανάλυση των κλήσεων,,ενημερώστε ανάλυση κλήσεων
να ανανεώσω θέλω,,ανανεώσω
βρήκα αναπάντητη στο σταθερό τηλέφωνο από εσάς,,βρήκα αναπάντητος σε ο σταθερός τηλέφωνος από
ενεργοποίηση,,ενεργοποίηση
θέλω πληροφορίες,,πληροφορία
πού μπορώ να βρω τα χρέη μου,,πού μπορώ βρως χρέος
θέλω να βρω τον αναλυτικό λογαριασμό του σταθερού,,βρως αναλυτικός λογαριασμός σταθερού
θέλω να μιλήσω για ένα ραντεβού,,μιλώ ένας ραντεβού
να πληροφορηθώ,,πληροφορηθώ
λογαριασμός κινητής,,λογαριασμός κινητός
δωρεάν χρόνος ομιλίας,,δωρεάν χρόνος ομιλία
ενημέρωση για την απόκρυψη κλήσεων,,ενημέρωση απόκρυψη κλήσεων
από πού αλλάζει ο κωδικός του hotspot,,από πού αλλάζω κωδικός hotspot
τον λογαριασμό του σταθερού μου,,λογαριασμός σταθερού
θέλω να ενημερωθώ πότε πρέπει να πληρώνω τις δόσεις του διακανονισμού μου,,ενημερωθώ πότε πρέπει πληρώνω δόση διακανονισμός
θέλω να ενεργοποιήσω πρόγραμμα ομιλίας,,ενεργοποιήσω πρόγραμμα ομιλία
είχα μία κλήση στο τηλέφωνό μου από εσάς και σας κάλεσα,,ένας κλήση σε ο τηλέφωνό από κάλεσα
θέλω να δω αναλυτικά την κίνηση των κλήσεών μου,,αναλυτικά κίνηση κλήσεών
επιθυμώ να προσθέσω χρόνο ομιλίας,,επιθυμώ προσθέσω χρόνος ομιλία
θέλω να μου βάλετε χρόνο για να μιλάω,,βάλετε χρόνος μιλάως
υπάρχουν άλλες υπηρεσίες πέρα από αυτές που έχω,,υπάρχω άλλος υπηρεσία πέρα από αυτός
θέλω να βάλω λεπτά ομιλίας στην κάρτα,,βάλω λεπτό ομιλία σε ο κάρτα
να κάνω εξόφληση λογαριασμού,,εξόφληση λογαριασμός
θέλω να μάθω πότε πρέπει να πληρώνω τις δόσεις του διακανονισμού μου,,μάθω πότε πρέπει πληρώνω δόση διακανονισμός
ενημέρωση για τις υπηρεσίες,,ενημέρωση υπηρεσία
τι υπόλοιπο έχω,,υπόλοιπος
λειτουργία της βιντεοκλήσης,,λειτουργία βιντεοκλήση
θέλω να ενεργοποιηθεί,,ενεργοποιηθεί
θέλω να καταχωρήσω αίτηση,,καταχωρώ αίτηση
θα ήθελα παρακαλώ να κάνω διακανονισμό του ληξιπρόθεσμου και του τρέχοντος λογαριασμού μου,,παρακαλώ διακανονισμός ληξιπρόθεσμου τρέχον λογαριασμός
ποιες υπηρεσίες έχω ήδη,,ποιος υπηρεσία ήδη
πώς κάνω tethering τη συσκευή μου,,πώς tethering συσκευή
θέλω να ενημερωθώ για τα οφειλόμενά μου,,ενημερωθώ οφειλόμενό
το τμήμα παραπόνων θέλω,,τμήμα παραπόνων
σχετικά με λογαριασμό σταθερού,,σχετικά λογαριασμός σταθερού
θέλω να με ενημερώσετε για αναλυτικό λογαριασμό στο σταθερό,,ενημερώσω αναλυτικός λογαριασμός σε ο σταθερός
τον λογαριασμό του συμβολαίου μου,,λογαριασμός συμβολαίου
πού μπορώ να δω την οφειλή μου,,πού μπορώ οφειλή
ποιο είναι το τελικό ποσό των χρεών μου,,ποιος τελικός ποσό χρεών
να κάνω αποπληρωμή λογαριασμού,,αποπληρωμή λογαριασμός
μπορώ να προχωρήσω σε διακανονισμό του σταθερού μου,,μπορώ προχωρώ διακανονισμός σταθερού
καινούργια υπηρεσία,,καινούργια υπηρεσία
χρήση της υπηρεσίας της βιντεοκλήσης,,χρήση υπηρεσία βιντεοκλήση
να μάθω το υπόλοιπό μου,,μάθω υπόλοιπος
για τον λογαριασμό μου,,λογαριασμός
ζητώ να ενεργοποιήσω,,ζητώ ενεργοποιήσω
επιθυμώ απενεργοποίηση,,επιθυμώ απενεργοποίηση
να μου δείξετε πού είναι ο αναλυτικός λογαριασμός,,δείξω πού αναλυτικός λογαριασμός
να εξοφλήσω το τηλέφωνό μου,,εξοφλώ τηλέφωνό
θέλω να εκφράσω παράπονο,,εκφράζω παράπονο
ανάλυση κλήσεων,,ανάλυση κλήσεων
πού μπορώ να κάνω αίτηση για φοιτητικό,,πού μπορώ αίτηση φοιτητικός
επιθυμώ να γνωρίζω την οφειλή μου,,επιθυμώ γνωρίζω οφειλή
χρειάζομαι ανάλυση του λογαριασμού μου,,χρειάζομαι ανάλυση λογαριασμός
από πού κλείνει το tethering,,από πού κλείνω tethering
θέλω να κάνω αποπληρωμή της οφειλής του κινητού μου,,αποπληρωμή οφειλή κινητός
θα μου δείξετε πώς να κάνω hotspot,,δείξω πώς hotspot
λογαριασμός σύνδεσης,,λογαριασμός σύνδεση
θέλω να δω την ανάλυση κλήσεων,,ανάλυση κλήσεων
θέλω να αγοράσω χρόνο ομιλίας προς κινητά,,αγοράζω χρόνος ομιλία προς κινητάς
θέλω να δω μια μερική ανάλυση των κλήσεων μου,,ένας μερικός ανάλυση κλήσεων
τo παραστατικό του καρτοσυμβολαίου μου,,παραστατικός καρτοσυμβολαίο
θέλω να γίνει εξόφληση λογαριασμού για το σταθερό μου,,γίνομαι εξόφληση λογαριασμός σταθερός
θέλω να γίνει εξόφληση παραστατικού του τηλεφώνου μου,,γίνομαι εξόφληση παραστατικός τηλεφώνου
θέλω να κάνω πληρωμή της οφειλής του κινητού μου,,πληρωμή οφειλή κινητός
θέλω χρόνο για να τα λέω με τους φίλους μου,,χρόνος λέως φίλος
με ποιον τρόπο να καταχωρήσω αίτηση,,τρόπος καταχωρώ αίτηση
πού μπορώ να δω το χρέος μου,,πού μπορώ χρέος
θέλω να γίνει αποπληρωμή της οφειλής του τηλεφώνου μου,,γίνομαι αποπληρωμή οφειλή τηλεφώνου
θα ήθελα να κάνω μερικές ερωτήσεις σχετικά με τον διακανονισμό,,μερικοί ερωτήσεις σχετικά διακανονισμός
τι παροχές έχει το φοιτητικό,,παροχή φοιτητικός
να πω το παράπονό μου,,λέγω παράπονό
τo παραστατικό του κινητού μου,,παραστατικός κινητός
καλώ για να τροποποιήσω ένα ραντεβού,,καλώ τροποποιώ ένας ραντεβού
θέλω να βάλω χρόνο ομιλίας στην κάρτα,,βάλω χρόνος ομιλία σε ο κάρτα
διακανονισμός ληξιπρόθεσμου,,διακανονισμός ληξιπρόθεσμου
θα ήθελα να μιλήσω με το τμήμα διακανονισμού λογαριασμών,,μιλώ τμήμα διακανονισμός λογαριασμός
πώς μπορώ να βλέπω αναλυτικά τις κλήσεις στον λογαριασμό μου,,πώς μπορώ βλέπω αναλυτικά κλήσεις σε ο λογαριασμός
επιθυμώ να βάλω λεπτά ομιλίας στην κάρτα,,επιθυμώ βάλω λεπτό ομιλία σε ο κάρτα
να κάνω δήλωση του σταθερού μου ως απόρρητο,,δήλωση σταθερού ως απόρρητος
υπόλοιπο,,υπόλοιπος
θέλω να γίνει αποπληρωμή της οφειλής του κινητού μου,,γίνομαι αποπληρωμή οφειλή κινητός
θα ήθελα να ρωτήσω πώς μπορώ να κάνω το φοιτητικό πακέτο,,ρωτώ πώς μπορώ φοιτητικός πακέτο
λεπτά για ομιλία,,λεπτό ομιλία
τον λογαριασμό του κινητού μου,,λογαριασμός κινητός
πώς θα κάνω διακανονισμό οφειλής,,πώς διακανονισμός οφειλή
πού είναι το υπόλοιπο,,πού υπόλοιπος
χρειάζομαι βοήθεια σε ένα θέμα,,χρειάζομαι βοήθεια ένας θέμα
έχετε κάπου οδηγίες για tethering,,κάπου οδηγία tethering
ενημερώστε με για τον αναλυτικό λογαριασμό,,ενημερώστε αναλυτικός λογαριασμός
πόσα χρήματα χρωστάω,,πόσος χρήμα χρωστάω
ενημέρωση για τον αναλυτικό λογαριασμό,,ενημέρωση αναλυτικός λογαριασμός
επιθυμώ να κάνω αίτηση,,επιθυμώ αίτηση
θέλω να μάθω πόσα χρωστάω,,μάθω χρωστάω
είχα μιλήσει να πάρω ένα καινούργιο φοιτητικό πακέτο,,μιλήνω πάρω ένας καινούργιος φοιτητικός πακέτο
νέα υπηρεσία,,νέος υπηρεσία
ενεργοποίηση προγράμματος με mb,,ενεργοποίηση πρόγραμμα mb
να πληροφορηθώ για το υπόλοιπό μου,,πληροφορηθώ υπόλοιπος
αγορά προγράμματος με δεδομένα,,αγορά πρόγραμμα δεδομένας
θέλω να βλέπω αναλυτικό λογαριασμό,,βλέπω αναλυτικός λογαριασμός
βοηθήστε με,,βοηθήστε
δεν έχει ενημερωθεί το υπόλοιπο μου,,ενημερωθεί υπόλοιπος
θέλω να γίνει εξόφληση λογαριασμού για το τηλέφωνο μου,,γίνομαι εξόφληση λογαριασμός τηλέφωνος
να επιλέξω μία υπηρεσία,,επιλέξω ένας υπηρεσία
είχα μία κλήση στο σταθερό τηλέφωνό μου από εσάς,,ένας κλήση σε ο σταθερό τηλέφωνό από
πληροφορίες για την απόκρυψη κλήσεων,,πληροφορία απόκρυψη κλήσεων
θέλω να γίνει εξόφληση της οφειλής του κινητού μου,,γίνομαι εξόφληση οφειλή κινητός
επιθυμώ λεπτά ομιλίας για το καρτοκινητό μου,,επιθυμώ λεπτό ομιλία καρτοκινητός
θέλω να ενεργοποιήσω,,ενεργοποιήσω
να κάνω εξόφληση της οφειλής του κινητού μου,,εξόφληση οφειλή κινητός
θέλω να εξοφλήσω το κινητό μου,,εξοφλώ κινητό
θέλω νέο διακανονισμό για το κινητό,,νέος διακανονισμός κινητό
θέλω να ενημερωθώ για το χρέος μου,,ενημερωθώ χρέος
με ποιον τρόπο μπορώ να υποβάλω αίτηση,,τρόπος μπορώ υποβάλω αίτηση
ολοκλήρωση της ανανέωσης,,ολοκλήρωση ανανέωση
να αποπληρώσω το κινητό μου,,αποπληρώσως κινητό
θέλω να μάθω για την εξόφληση λογαριασμού,,μάθω εξόφληση λογαριασμός
θέλω μία βοήθεια,,ένας βοήθεια
ζητώ να μου απενεργοποιήσετε,,ζητώ απενεργοποιήσω
επιθυμώ να υποβάλω αίτηση,,επιθυμώ υποβάλω αίτηση
τι κωδικό έχει το hotspot,,κωδικός hotspot
ενδιαφέρομαι για ανανέωση,,ενδιαφέρομαι ανανέωση
πώς να κάνω το κινητό μου tethering,,πώς κινητό tethering
ποιο είναι το σύνολο των χρεών μου,,ποιος σύνολο χρεών
θέλω να γίνει εξόφληση παραστατικού του tv μου,,γίνομαι εξόφληση παραστατικός tv
θα ήθελα να ενημερωθώ για τον τρόπο που μπορεί να γίνει αίτηση,,ενημερωθώ τρόπος μπορώ γίνομαι αίτηση
θέλω να κάνω το σταθερό μου απόρρητο,,σταθερός απόρρητο
υπηρεσία,,υπηρεσία
θα ήθελα να κάνω διακανονισμό σε όλο αυτό που χρωστάω,,διακανονισμός αυτός χρωστάω
ανάλυση εισερχομένων,,ανάλυση εισερχομένων
θέλω ενημέρωση,,ενημέρωση
θέλω να κάνω διακανονισμό στην τηλεόραση γιατί αδυνατώ να πληρώσω τον λογαριασμό,,διακανονισμός σε ο τηλεόραση γιατί αδυνατώ πληρώσω λογαριασμός
ενεργοποίηση hotspot,,ενεργοποίηση hotspot
επιθυμώ να ενημερωθώ για τον τρόπο που μπορεί να γίνει αίτηση,,επιθυμώ ενημερωθώ τρόπος μπορώ γίνομαι αίτηση
θέλω να αποκτήσω επιπλέον λεπτά ομιλίας για να μιλάω με φίλους,,αποκτώ επιπλέον λεπτό ομιλία μιλάως φίλος
οδηγίες για hotspot παρακαλώ,,οδηγία hotspot παρακαλώ
να μάθω πληροφορίες,,μάθω πληροφορία
αγορά προγράμματος μηνυμάτων,,αγορά πρόγραμμα μηνυμάτο
θέλω να συνδεθώ με το τμήμα πωλήσεων,,συνδεθώ τμήμα πωλήσεων
πώς να ενεργοποιήσω το tethering μέσω του κινητού μου,,πώς ενεργοποιήσω tethering μέσω κινητού
να γίνει ενεργοποίηση,,γίνομαι ενεργοποίηση
θα ήθελα να διακανονίσω το ποσό που σας χρωστάω,,διακανονίζω ποσό χρωστάω
επιθυμώ να απενεργοποιήσω,,επιθυμώ απενεργοποιώ
πώς μπορώ να δω μια ανάλυση όλων των κλήσεων και μηνυμάτων,,πώς μπορώ ένας ανάλυση όλος κλήσεων μηνυμάτο
να δηλώσω το σταθερό μου ως απόρρητο,,δηλώνω σταθερός ως απόρρητος
θέλω βοήθεια,,βοήθεια
θα ήθελα να μιλήσω με το τμήμα που κάνει διακανονισμούς,,μιλώ τμήμα διακανονισμός
θα μπορούσα να έχω πρόσβαση στην ανάλυση λογαριασμού σταθερού,,μπορούσας πρόσβαση σε ο ανάλυση λογαριασμός σταθερού
πώς ανοίγει το hotspot,,πώς ανοίγει hotspot
θέλω υπηρεσίες,,υπηρεσία
ενημερώστε με για την ανάλυση κλήσεων,,ενημερώστε ανάλυση κλήσεων
είχαμε μιλήσει για ένα ραντεβού,,μιλήσει ένας ραντεβού
θα ήθελα να καταχωρήσω αίτηση,,καταχωρώ αίτηση
θέλω να προσθέσω λεπτά ομιλίας,,προσθέσω λεπτός ομιλία
κάτι δεν πάει καλά με το hotspot,,κάτι πάει καλά hotspot
θέλω να αποπληρώσω το σταθερό μου,,αποπληρώσως σταθερός
πώς μπορώ να καταχωρήσω αίτηση,,πώς μπορώ καταχωρώ αίτηση
θέλω να κάνω εξόφληση λογαριασμού,,εξόφληση λογαριασμός
θα ήθελα να καταχωρήσω αίτημα,,καταχωρώ αίτημα
θέλω να ενημερωθώ για διακανονισμό,,ενημερωθώ διακανονισμός
